Date,Open,High,Low,Close,Forecast
1989-09-24,139.03,144.69,138.68,139.03,0
1989-10-01,142.39,143.59,138.53,142.39,0
1989-10-08,141.48,145.08,141.37,141.48,0
1989-10-15,142.41,142.84,140.28,142.48,0
1989-10-22,141.57,143.22,141.08,141.62,0
1989-10-29,143.31,144.22,141.48,143.34,0
1989-11-05,143.4,144.1,142.1,143.45,0
1989-11-12,144.3,144.58,142.85,144.35,0
1989-11-19,143.55,144.9,142.93,143.6,0
1989-11-26,143.43,143.93,142.25,143.45,0
1989-12-03,144.15,144.45,143.15,144.2,0
1989-12-10,144.0,144.78,143.25,144.05,1
1989-12-17,142.25,144.43,142.25,142.3,0
1989-12-24,143.85,144.15,141.6,143.9,0
1989-12-31,144.5,146.9,142.8,144.55,1
1990-01-07,145.75,146.0,143.85,145.8,1
1990-01-14,145.95,146.72,145.03,145.99,1
1990-01-21,142.82,146.72,142.75,142.84,0
1990-01-28,145.55,145.95,142.5,145.6,0
1990-02-04,144.7,145.77,144.3,144.75,1
1990-02-11,143.95,145.15,143.8,144.0,0
1990-02-18,147.05,147.45,143.8,147.1,0
1990-02-25,150.3,150.55,147.05,150.35,1
1990-03-04,151.25,151.47,148.4,151.28,1
1990-03-11,152.57,153.35,151.2,152.62,1
1990-03-18,154.25,155.5,152.1,154.3,1
1990-03-25,158.5,159.33,154.7,158.53,1
1990-04-01,157.62,160.4,156.5,157.67,1
1990-04-08,158.67,159.62,155.45,158.69,1
1990-04-15,157.45,160.25,156.1,157.5,0
1990-04-22,159.2,159.53,156.85,159.25,1
1990-04-29,158.15,159.53,157.4,158.2,0
1990-05-06,152.7,159.65,152.55,152.75,0
1990-05-13,153.0,153.9,150.0,153.05,0
1990-05-20,149.3,153.78,149.13,149.34,0
1990-05-27,151.95,152.68,148.75,151.97,0
1990-06-03,153.45,153.53,151.8,153.47,0
1990-06-10,153.9,155.18,153.25,153.95,0
1990-06-17,154.8,155.15,153.0,154.85,0
1990-06-24,152.2,155.8,151.55,152.22,0
1990-07-01,151.6,152.28,149.38,151.65,0
1990-07-08,148.15,151.93,146.65,148.18,0
1990-07-15,148.55,149.32,146.85,148.6,0
1990-07-22,148.95,151.07,147.9,149.0,0
1990-07-29,149.3,151.63,145.5,149.35,0
1990-08-05,150.4,151.25,149.05,150.45,0
1990-08-12,147.6,150.73,146.6,147.65,0
1990-08-19,146.1,148.42,145.1,146.6,0
1990-08-26,143.7,146.55,142.7,143.75,0
1990-09-02,140.0,144.25,139.8,140.05,0
1990-09-09,136.7,140.66,135.7,136.75,0
1990-09-16,136.5,138.9,135.85,136.55,0
1990-09-23,138.5,138.62,135.15,138.53,0
1990-09-30,132.2,138.25,131.95,132.25,0
1990-10-07,129.05,132.15,128.38,129.1,0
1990-10-14,125.95,128.92,123.6,126.0,0
1990-10-21,128.15,129.2,125.1,128.2,0
1990-10-28,127.65,131.34,127.15,127.69,0
1990-11-04,129.7,131.05,126.25,129.75,0
1990-11-11,129.4,130.15,127.85,129.45,0
1990-11-18,127.05,129.32,126.6,127.12,0
1990-11-25,132.5,134.65,127.17,132.55,0
1990-12-02,130.65,134.82,130.4,130.7,0
1990-12-09,132.9,133.3,129.8,132.95,0
1990-12-16,135.5,136.6,132.27,135.55,1
1990-12-23,134.8,137.15,134.7,134.85,0
1990-12-30,134.7,136.3,132.55,134.75,0
1991-01-06,133.9,137.5,133.65,133.95,0
1991-01-13,132.3,138.15,131.9,132.35,0
1991-01-20,132.45,133.25,130.9,132.5,0
1991-01-27,131.55,132.85,130.5,131.6,0
1991-02-03,127.7,131.75,127.6,127.75,0
1991-02-10,130.45,130.65,127.15,130.5,0
1991-02-17,132.12,132.49,129.65,132.16,0
1991-02-24,134.6,134.75,131.7,134.65,0
1991-03-03,136.7,136.88,134.45,136.74,0
1991-03-10,137.82,138.75,135.0,137.87,1
1991-03-17,137.5,139.7,136.4,137.55,1
1991-03-24,140.7,141.53,136.9,140.72,1
1991-03-31,136.6,141.05,135.45,136.65,0
1991-04-07,136.25,138.3,134.45,136.3,0
1991-04-14,138.3,138.65,133.9,138.35,1
1991-04-21,138.25,139.55,137.05,138.3,1
1991-04-28,138.8,139.15,135.9,138.85,1
1991-05-05,138.6,139.45,137.7,138.65,1
1991-05-12,138.4,139.75,136.8,138.45,0
1991-05-19,138.25,138.9,137.1,138.3,0
1991-05-26,138.4,138.6,137.02,138.45,1
1991-06-02,140.3,140.53,138.15,140.35,1
1991-06-09,140.68,142.15,140.2,140.73,0
1991-06-16,138.95,141.65,137.95,139.0,0
1991-06-23,137.43,139.9,137.35,137.48,0
1991-06-30,138.3,139.73,137.5,138.35,0
1991-07-07,136.45,139.1,136.0,136.5,0
1991-07-14,136.3,137.8,136.2,136.35,0
1991-07-21,137.65,139.1,136.0,137.7,0
1991-07-28,137.15,138.45,136.5,137.2,0
1991-08-04,136.55,137.65,135.2,136.6,0
1991-08-11,137.35,137.55,136.0,137.4,0
1991-08-18,136.85,138.38,136.25,136.88,0
1991-08-25,136.78,137.45,136.3,136.83,0
1991-09-01,135.55,136.93,134.93,135.6,0
1991-09-08,134.0,135.65,133.5,134.05,0
1991-09-15,134.17,135.0,133.36,134.22,0
1991-09-22,133.1,134.32,132.4,133.15,0
1991-09-29,129.6,133.5,129.2,129.65,0
1991-10-06,129.52,130.95,129.05,129.57,0
1991-10-13,129.85,130.45,128.5,129.9,0
1991-10-20,131.5,131.85,129.5,131.55,0
1991-10-27,129.7,132.65,129.65,129.75,0
1991-11-03,130.35,130.55,128.7,130.4,0
1991-11-10,129.3,130.75,129.2,129.35,0
1991-11-17,129.4,130.05,128.6,129.45,0
1991-11-24,129.97,131.5,127.58,130.02,0
1991-12-01,127.88,130.2,127.75,127.93,0
1991-12-08,129.03,129.72,127.79,129.06,0
1991-12-15,127.5,129.25,127.35,127.55,0
1991-12-22,125.85,127.75,125.43,125.9,0
1991-12-29,124.62,126.65,123.73,124.67,0
1992-01-05,126.93,127.4,122.7,126.98,0
1992-01-12,124.1,129.42,124.1,124.15,0
1992-01-19,123.5,124.7,121.95,123.55,0
1992-01-26,125.78,126.03,124.37,125.81,0
1992-02-02,125.31,126.65,124.69,125.36,0
1992-02-09,127.85,128.1,125.1,127.9,0
1992-02-16,128.88,128.97,126.3,128.91,0
1992-02-23,129.45,130.05,128.23,129.5,0
1992-03-01,131.75,132.48,129.35,131.8,1
1992-03-08,133.63,134.78,131.05,133.66,1
1992-03-15,133.8,134.7,131.75,133.85,1
1992-03-22,133.0,134.38,132.65,133.05,0
1992-03-29,133.4,135.05,132.25,133.45,1
1992-04-05,132.85,133.8,131.68,132.9,0
1992-04-12,133.9,134.25,132.69,133.95,1
1992-04-19,134.4,134.93,133.8,134.45,1
1992-04-26,132.55,135.05,132.5,132.6,0
1992-05-03,133.35,133.75,131.95,133.4,0
1992-05-10,129.73,133.45,129.4,129.78,0
1992-05-17,129.6,130.4,128.25,129.18,-1
1992-05-24,129.11,130.42,127.45,127.7,-1
1992-05-31,127.56,128.35,126.52,126.8,-1
1992-06-07,126.6,127.88,126.15,126.62,0
1992-06-14,126.6,127.8,126.15,127.06,0
1992-06-21,127.13,127.6,124.95,125.7,0
1992-06-28,125.6,126.23,123.4,124.77,-1
1992-07-05,124.94,125.9,123.65,125.3,0
1992-07-12,125.14,125.7,124.25,124.35,0
1992-07-19,124.32,128.2,123.95,128.15,0
1992-07-26,127.7,128.43,126.85,127.1,0
1992-08-02,127.05,128.06,126.95,127.55,0
1992-08-09,127.4,128.21,125.8,125.97,0
1992-08-16,126.15,126.75,125.5,125.55,-1
1992-08-23,125.56,125.61,122.95,123.0,-1
1992-08-30,122.79,124.8,122.1,123.0,0
1992-09-06,123.1,124.5,122.45,124.33,0
1992-09-13,124.93,125.69,123.5,124.44,0
1992-09-20,124.05,124.33,119.5,120.88,-1
1992-09-27,120.55,120.69,118.55,119.37,-1
1992-10-04,119.0,122.19,118.75,121.84,0
1992-10-11,121.45,121.94,119.25,119.44,0
1992-10-18,119.63,123.04,119.5,121.6,0
1992-10-25,121.68,123.8,121.38,123.48,0
1992-11-01,123.35,124.0,121.75,123.45,0
1992-11-08,123.43,124.59,123.3,124.1,1
1992-11-15,124.12,124.92,123.15,124.35,1
1992-11-22,124.22,124.58,123.45,124.4,1
1992-11-29,124.34,125.1,124.0,124.96,0
1992-12-06,124.92,125.11,123.12,123.9,0
1992-12-13,123.7,124.25,122.5,123.1,0
1992-12-20,123.05,124.0,122.83,123.7,0
1992-12-27,123.6,125.2,123.6,124.85,1
1993-01-03,124.85,125.52,124.58,125.41,1
1993-01-10,125.15,126.26,124.82,126.07,0
1993-01-17,125.76,125.91,124.48,125.11,0
1993-01-24,124.83,125.15,122.75,124.65,0
1993-01-31,124.55,125.27,123.8,124.45,0
1993-02-07,124.33,124.68,119.5,120.62,0
1993-02-14,120.87,121.4,118.15,118.22,-1
1993-02-21,118.07,118.53,115.85,118.2,0
1993-02-28,118.65,119.15,116.05,117.6,0
1993-03-07,117.5,118.58,116.23,118.05,0
1993-03-14,118.1,118.71,115.55,116.1,0
1993-03-21,116.11,117.95,115.0,116.5,0
1993-03-28,116.25,117.3,113.4,113.68,-1
1993-04-04,113.56,114.75,112.85,113.15,-1
1993-04-11,113.15,114.13,112.05,112.25,-1
1993-04-18,111.6,111.85,109.45,110.7,-1
1993-04-25,110.25,112.5,109.15,111.1,0
1993-05-02,110.87,111.23,109.45,110.35,-1
1993-05-09,110.28,112.37,110.1,110.7,0
1993-05-16,111.07,111.95,109.9,110.45,0
1993-05-23,110.35,110.82,106.77,106.93,-1
1993-05-30,107.41,107.98,106.45,107.78,0
1993-06-06,107.88,108.0,105.75,106.07,0
1993-06-13,106.03,110.18,104.75,109.55,0
1993-06-20,109.65,111.85,105.8,106.25,0
1993-06-27,105.65,108.8,105.2,108.55,0
1993-07-04,108.85,110.03,106.65,109.94,0
1993-07-11,110.53,110.56,106.92,107.53,0
1993-07-18,107.75,108.95,105.1,106.95,-1
1993-07-25,106.65,107.23,104.2,105.05,-1
1993-08-01,104.6,105.32,103.79,104.44,-1
1993-08-08,104.5,104.97,101.7,101.97,-1
1993-08-15,101.73,106.8,100.2,104.4,0
1993-08-22,104.05,105.63,102.85,103.75,0
1993-08-29,103.7,106.03,103.5,104.6,0
1993-09-05,104.73,106.84,103.35,106.02,0
1993-09-12,105.92,106.71,103.8,104.44,0
1993-09-19,104.66,107.35,103.79,105.95,0
1993-09-26,105.93,106.72,104.75,106.0,0
1993-10-03,106.15,106.43,104.77,106.2,0
1993-10-10,105.96,107.53,105.55,107.15,1
1993-10-17,106.92,108.65,106.6,108.05,1
1993-10-24,108.14,108.98,107.25,108.59,1
1993-10-31,108.55,108.85,107.0,108.27,0
1993-11-07,108.26,108.48,105.5,105.8,0
1993-11-14,105.98,108.75,105.5,108.47,0
1993-11-21,108.3,109.25,107.8,108.85,1
1993-11-28,108.83,109.63,108.0,108.59,0
1993-12-05,108.51,109.3,107.3,109.21,0
1993-12-12,109.11,110.29,108.6,110.19,1
1993-12-19,110.03,111.69,109.82,110.78,1
1993-12-26,110.6,112.09,110.6,111.82,0
1994-01-02,111.7,113.63,111.5,111.88,1
1994-01-09,111.8,112.91,110.77,110.95,0
1994-01-16,111.22,111.9,110.05,111.6,0
1994-01-23,111.56,112.44,108.15,109.81,0
1994-01-30,110.4,110.47,107.5,109.3,0
1994-02-06,109.4,109.8,106.75,106.85,0
1994-02-13,106.0,106.55,101.75,104.62,-1
1994-02-20,104.7,106.85,104.2,104.85,0
1994-02-27,104.27,105.82,102.95,105.57,0
1994-03-06,105.42,106.15,104.6,105.02,0
1994-03-13,105.33,106.69,105.33,106.15,0
1994-03-20,106.3,106.64,104.28,104.85,0
1994-03-27,104.92,105.02,102.08,103.67,-1
1994-04-03,103.85,105.88,102.78,105.28,0
