Date,Open,High,Low,Close,Forecast
1994-09-25,1.2863,1.291,1.2735,1.2858,0
1994-10-02,1.2884,1.2985,1.269,1.2815,0
1994-10-09,1.281,1.2935,1.261,1.2645,-1
1994-10-16,1.2665,1.2685,1.236,1.2485,-1
1994-10-23,1.2495,1.267,1.2354,1.2605,0
1994-10-30,1.262,1.2775,1.2415,1.2675,0
1994-11-06,1.2657,1.2893,1.2565,1.2831,0
1994-11-13,1.283,1.3207,1.283,1.319,0
1994-11-20,1.3195,1.3272,1.309,1.3205,1
1994-11-27,1.324,1.336,1.3188,1.3332,1
1994-12-04,1.331,1.3419,1.3205,1.3371,1
1994-12-11,1.3355,1.3415,1.3235,1.333,0
1994-12-18,1.3332,1.338,1.3235,1.3329,0
1994-12-25,1.3299,1.336,1.3015,1.309,0
1995-01-01,1.3085,1.3189,1.2995,1.311,0
1995-01-08,1.309,1.311,1.2775,1.289,0
1995-01-15,1.2899,1.2965,1.2645,1.2702,0
1995-01-22,1.2715,1.2792,1.262,1.2746,0
1995-01-29,1.2727,1.2975,1.2635,1.2928,0
1995-02-05,1.2935,1.304,1.28,1.2823,0
1995-02-12,1.2802,1.2875,1.2465,1.2517,-1
1995-02-19,1.2505,1.2575,1.24,1.2453,-1
1995-02-26,1.2447,1.246,1.2005,1.201,-1
1995-03-05,1.195,1.1955,1.118,1.1795,-1
1995-03-12,1.174,1.1805,1.1415,1.1505,0
1995-03-19,1.1485,1.18,1.1465,1.174,0
1995-03-26,1.175,1.1785,1.1205,1.1295,0
1995-04-02,1.1255,1.1405,1.112,1.13,0
1995-04-09,1.136,1.1672,1.136,1.1507,0
1995-04-16,1.1505,1.1513,1.11,1.1307,-1
1995-04-23,1.1181,1.1558,1.1155,1.145,0
1995-04-30,1.1455,1.1525,1.1237,1.1325,0
1995-05-07,1.132,1.216,1.122,1.2075,0
1995-05-14,1.2097,1.2215,1.192,1.2035,0
1995-05-21,1.2045,1.21,1.131,1.1355,0
1995-05-28,1.1335,1.1885,1.1315,1.1622,0
1995-06-04,1.16,1.1735,1.15,1.1617,0
1995-06-11,1.1585,1.171,1.148,1.161,0
1995-06-18,1.1575,1.1662,1.1415,1.1455,0
1995-06-25,1.145,1.1646,1.1405,1.1485,0
1995-07-02,1.1485,1.166,1.141,1.1575,0
1995-07-09,1.1577,1.18,1.1545,1.163,0
1995-07-16,1.165,1.1718,1.143,1.155,0
1995-07-23,1.1574,1.1606,1.1425,1.1492,0
1995-07-30,1.147,1.1635,1.133,1.1525,0
1995-08-06,1.154,1.1975,1.1515,1.1965,0
1995-08-13,1.2005,1.242,1.1885,1.2225,1
1995-08-20,1.224,1.2387,1.209,1.2103,0
1995-08-27,1.2095,1.2191,1.1948,1.1965,0
1995-09-03,1.1955,1.2254,1.192,1.2142,0
1995-09-10,1.2055,1.2275,1.2,1.2075,0
1995-09-17,1.2095,1.213,1.13,1.1465,0
1995-09-24,1.1475,1.1685,1.136,1.1543,0
1995-10-01,1.155,1.1629,1.1335,1.1458,0
1995-10-08,1.147,1.162,1.13,1.1545,0
1995-10-15,1.153,1.1602,1.1388,1.141,0
1995-10-22,1.1383,1.1437,1.1206,1.1375,-1
1995-10-29,1.1383,1.1505,1.13,1.14,0
1995-11-05,1.1398,1.1508,1.1315,1.139,-1
1995-11-12,1.1375,1.147,1.128,1.1384,0
1995-11-19,1.1374,1.1485,1.1335,1.145,0
1995-11-26,1.143,1.1803,1.1415,1.1768,0
1995-12-03,1.1717,1.1772,1.161,1.1688,0
1995-12-10,1.1675,1.1806,1.1585,1.1635,0
1995-12-17,1.161,1.1661,1.1435,1.1573,0
1995-12-24,1.155,1.1607,1.1475,1.154,0
1995-12-31,1.1532,1.1775,1.1484,1.1615,0
1996-01-07,1.164,1.1715,1.1546,1.163,0
1996-01-14,1.163,1.199,1.1613,1.1923,0
1996-01-21,1.191,1.212,1.1825,1.211,1
1996-01-28,1.2098,1.2237,1.203,1.2144,1
1996-02-04,1.2135,1.2145,1.1914,1.2075,0
1996-02-11,1.209,1.2095,1.182,1.1845,0
